Name,lon,lat,District,District_c,Gr_ml_cm,Ho_size_r,Ho_size_u,Mg_fl_cl,Pop_2001,Pop_2011,Pop_2013,Pop_g_r,Pop_g_u,Population,Source,State,State_code,Township,Township_c,Village,Village_co,Village_fa,Village_hh,Village_po,Villagetra,Vt_code,Vt_hh,Vt_pop
Sandai,98.7055481,23.339307,Kum Lone,1504,20,6.98,5.59,1.14,189,209,,0.0066,0.0114,209,DRD,Shan (North),15,Kum Lone,150416,Sandai,15041620004,,20,189,Manpyaine,,217,1851
Orpyant,99.6606295,21.3309755,kyaington,1701,20,5.44,5.2,1.14,114,126,,0.0066,0.0114,126,DRD,Shan (East),17,kyaington,170101,Orpyant,17010108040,18,18,114,Ketpha,17010108,1401,6521
Kong Paung,98.1376177,21.9899782,Taunggyi,1601,19,6.05,5.46,1,309,341,,0.0066,0.0114,341,DRD,Shan (South),16,KyiThe,160211,Kong Paung,16021105006,39,39,309,Sai Lin,16021105,271,2288
Phye Kywat Shae,97.3453271,20.0620165,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Phye Kywat Shae,16010413004,0,0,0,Taung Shae,,0,0
Pong-keng,98.2866335,20.2691161,Loi Lem,1602,19,6.05,5.46,1,310,342,,0.0066,0.0114,342,DRD,Shan (South),16,Maing Pan,160209,Pong-keng,16020903003,38,38,310,Namtung,16020903,432,3572
Namhpakka(2),97.8257241,23.6926818,Mu Se,1502,20,6.98,5.59,1.14,1767,1950,,0.0066,0.0114,1950,DRD,Shan (North),15,Kaut Khine,150215,Namhpakka(2),15021520002,225,225,1767,Namphatkar,15021520,1285,8890
Nantti(low),99.8382688,21.2664997,kyaington,1701,20,5.44,5.2,1.14,61,67,,0.0066,0.0114,67,DRD,Shan (East),17,kyaington,170101,Nantti(low),17010112009,6,6,61,Mongnog-phata,17010112,427,2179
Nantpu,99.1502047,21.621921,Mongsek,1702,20,5.44,5.2,1.14,176,194,,0.0066,0.0114,194,DRD,Shan (East),17,Tontar,170205,Nantpu,17020507001,20,20,176,Nantshoet,17020507,310,2228
Loi Ngin,97.8823349,20.8305963,Loilem,1602,19,6.05,5.46,1,228,252,,0.0066,0.0114,252,DRD,Shan (South),16,NamSan,160202,Loi Ngin,16020215002,40,40,228,Hai Hpark,16020215,368,2238
Manmai,97.7279611,23.7343778,Muse,1502,20,6.98,5.59,1.14,246,271,,0.0066,0.0114,271,DRD,Shan (North),15,Namkham,150213,Manmai,15021323001,,18,246,Manmai,,22,223
Hai-na,98.3539264,20.3387702,Loi Lem,1602,19,6.05,5.46,1,65,72,,0.0066,0.0114,72,DRD,Shan (South),16,Maing Pan,160209,Hai-na,16020902006,6,6,65,Kong-kyaing,16020902,145,1911
Lwe Maung,96.79764,20.13806,Taunggyi,1601,19,6.05,5.46,1,383,423,,0.0066,0.0114,423,DRD,Shan (South),16,Pin Laung,160108,Lwe Maung,16010805012,57,57,383,Hte Paung,16010805,623,1247
Naung Kwee,97.0982086,20.4241052,Taunggyi,1601,19,6.05,5.46,1,235,259,,0.0066,0.0114,259,DRD,Shan (South),16,KyaukTaLone,160111,Naung Kwee,16011107009,78,78,235,Kat Ku,16011107,1988,7553
Pyainehtom,97.5401425,22.9314457,kyaukme,1503,20,6.98,5.59,1.14,142,157,,0.0066,0.0114,157,DRD,Shan (North),15,namtu,150308,Pyainehtom,15030815007,,23,142,narsine,,243,1454
Kone Kan,97.072475,22.2065413,Taunggyi,1601,19,6.05,5.46,1,630,695,,0.0066,0.0114,695,DRD,Shan (South),16,Inn Taw,160113,Kone Kan,16011303008,89,126,630,Naung Long,16011303,802,5150
Ho na,98.2057918,23.3854666,Mu Se,1502,20,6.98,5.59,1.14,49,54,,0.0066,0.0114,54,DRD,Shan (North),15,Kaut Khine,150215,Ho na,15021516008,12,12,49,Lwekhan,15021516,320,2161
Nantpain,99.46092,21.73639,Kyaington,1701,20,5.44,5.2,1.14,120,132,,0.0066,0.0114,132,DRD,Shan (East),17,Mongket,170102,Nantpain,17010201012,25,23,120,Wankhoke,17010201,470,2700
Kinashae,96.31837075,22.92788302,NULL,NULL,19,5.71,5.27,1,610,726,,0.0117,0.012,726,DRD,Mandalay,1,Magoke,NULL,Kinashae,1010200201,NULL,120,610,Kin,10103003,NULL,NULL
Manton,97.5482835,23.6099381,Muse,1502,20,6.98,5.59,1.14,212,234,,0.0066,0.0114,234,DRD,Shan (North),15,Namkham,150213,Manton,15021336002,,28,212,Mong Wi,,302,2221
Wan kaung mai,99.2705,21.61074,Kyaington,1701,20,5.44,5.2,1.14,71,78,,0.0066,0.0114,78,DRD,Shan (East),17,Mongket,170102,Wan kaung mai,17010216009,15,12,71,Wan Ping,17010216,139,794
Hoto,99.0459453,21.4515533,Mongsek,1702,20,5.44,5.2,1.14,106,117,,0.0066,0.0114,117,DRD,Shan (East),17,Tontar,170205,Hoto,17020506015,13,10,106,Pankhaing,17020506,288,1629
Ho Nar,98.0369255,20.3411574,Taunggyi,1602,19,6.05,5.46,1,224,247,,0.0066,0.0114,247,DRD,Shan (South),16,Lin Kae,160205,Ho Nar,16020504002,60,58,224,Dar Seik,16020504,425,1546
Hlae Tong,96.868461,21.0908133,Taunggyi,1601,19,6.05,5.46,1,426,470,,0.0066,0.0114,470,DRD,Shan (South),16,Yarksaung,160107,Hlae Tong,16010703012,47,71,426,Yam Twin / Ngar kyaung,16010703,3545,20381
Wanyawt,100.406749,21.1300133,Mongpyek,1703,20,5.44,5.2,1.14,261,288,,0.0066,0.0114,288,DRD,Shan (East),17,Mongyaung,170311,Wanyawt,17031103004,57,57,261,Wankaung,17031103,324,2052
Na luke,98.4247076,23.1671357,Lashio,1501,20,6.98,5.59,1.14,191,211,,0.0066,0.0114,211,DRD,Shan (North),15,Lashio,150101,Na luke,15010160007,38,0,191,Namlinkham,,318,1375
Man Kang(palaung),97.9510078,23.9149379,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Man Kang(palaung),15021220002,,0,0,,,0,0
Mantmorn,97.436741,23.0802993,kyaukme,1503,20,6.98,5.59,1.14,51,56,,0.0066,0.0114,56,DRD,Shan (North),15,namtu,150308,Mantmorn,15030803009,,9,51,sighthkong,,353,2120
Naung Wo,97.1646589,21.9369722,Taunggyi,1601,19,6.05,5.46,1,980,1081,,0.0066,0.0114,1081,DRD,Shan (South),16,Inn Taw,160113,Naung Wo,16011304001,198,157,980,Naung Wo,16011304,387,2548
Pin Sein Pin,96.6452751,21.0356285,Taunggyi,1601,19,6.05,5.46,1,66,73,,0.0066,0.0114,73,DRD,Shan (South),16,PinTaYa,160106,Pin Sein Pin,16010622004,0,13,66,Theinkone,16010622,208,1081
Kan Hla,96.62087,19.89962,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Pin Laung,160108,Kan Hla,16010806015,,,,Tha Pyay Kone,16010806,843,4411
Han Se,96.846151,19.5899918,Taunggyi,1601,19,6.05,5.46,1,290,320,,0.0066,0.0114,320,DRD,Shan (South),16,phekhon,160103,Han Se,16010312013,47,45,290,Ye Nwe,16010312,1533,9855
Pin Son (South),97.2183464,20.2903204,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Pin Son (South),16010408001,0,0,0,Pin Son,,0,0
kunna-yoar-ma,97.2784639,19.8689844,Loikaw,1001,20,5.88,5.5,1.14,322,403,,0.0151,0.0157,403,DRD,Kayah,10,Loikaw,100101,kunna-yoar-ma,10010112008,,,322,Htee-sai-hsa,10010112,582,2501
Nawng cho,99.2181981,21.3728567,Mongsek,1702,20,5.44,5.2,1.14,150,166,,0.0066,0.0114,166,DRD,Shan (East),17,Tontar,170205,Nawng cho,17020501008,34,32,150,Pannaunglone,17020501,166,758
Kawngnaung,97.6408927,23.84608,Muse,1502,20,6.98,5.59,1.14,305,337,,0.0066,0.0114,337,DRD,Shan (North),15,Namkham,150213,Kawngnaung,15021309003,,48,305,Manswan,,192,1265
Mong Tat,97.3977831,23.183983,kyaukme,1503,20,6.98,5.59,1.14,254,280,,0.0066,0.0114,280,DRD,Shan (North),15,namtu,150308,Mong Tat,15030817001,,42,254,mainedut,,136,816
Pahlaing,100.144556,20.7318798,Tachileik,1704,20,5.44,5.2,1.14,206,227,,0.0066,0.0114,227,DRD,Shan (East),17,Tarlay,170414,Pahlaing,17041402002,35,38,206,Monglin(west),17041402,571,2831
Pyindaungale,96.451502,23.999214,Katha,0,20,6.51,5.41,1.14,1731,2063,,0.0118,0.0124,2063,DRD,Sagaing,0,Katha,0,Pyindaungale,0,284,275,1731,,0,1185,7135
Man Ping,98.40192,22.83178,Lashio,MMR015D001,,,,,,283,288,,,283,GAD+MIMU,Shan (North),MMR015,Tangyan,MMR015004,Man Ping,206890,,66,288,Nawng Lai,MMR015004040,,
Mailon,97.7353994,23.7462521,Mu Se,1502,20,6.98,5.59,1.14,1077,1189,,0.0066,0.0114,1189,DRD,Shan (North),15,Kaut Khine,150215,Mailon,15021531005,163,163,1077,Homawlawsum,15021532,306,2260
Mangmaw,97.0069884,22.5527436,Kyaukme,1503,20,6.98,5.59,1.14,424,468,,0.0066,0.0114,468,DRD,Shan (North),15,Kyaukme,150306,Mangmaw,15030550001,,59,424,Pinpaw,,248,1563
Yatanar Depa (hpo Kone),96.9323723,21.1461951,Taunggyi,1601,19,6.05,5.46,1,471,520,,0.0066,0.0114,520,DRD,Shan (South),16,Yarksaung,160107,Yatanar Depa (hpo Kone),16010703007,164,155,471,Yam Twin / Ngar kyaung,16010703,3545,20381
Pa-kha-lone,99.01047,21.77814,Kyaington,1701,20,5.44,5.2,1.14,56,62,,0.0066,0.0114,62,DRD,Shan (East),17,Mongket,170102,Pa-kha-lone,17010211001,12,10,56,Pakhalone,17010211,254,1182
Ho Hkaung,98.1390262,21.7245979,Taunggyi,1601,19,6.05,5.46,1,84,93,,0.0066,0.0114,93,DRD,Shan (South),16,KyiThe,160211,Ho Hkaung,16021112004,10,10,84,Naung Ail,16021112,127,1257
Mawtaunghaw,98.0815917,23.5203053,Mu Se,1502,20,6.98,5.59,1.14,252,278,,0.0066,0.0114,278,DRD,Shan (North),15,Kaut Khine,150215,Mawtaunghaw,15021512004,32,32,252,Mawhan,15021512,763,5788
Marae`kyeng,98.6627506,23.4634173,Kum Lone,1504,20,6.98,5.59,1.14,183,202,,0.0066,0.0114,202,DRD,Shan (North),15,Kum Lone,150416,Marae`kyeng,15041605008,,28,183,Konenyaung,,293,2111
Nam Min,97.4588635,21.3210931,Taunggyi,1601,19,6.05,5.46,1,59,65,,0.0066,0.0114,65,DRD,Shan (South),16,Lae Char,160206,Nam Min,16020617003,14,14,59,Hpar Lan,16020617,71,278
Pong Long,97.9311645,21.5793891,Taunggyi,1601,19,6.05,5.46,1,207,228,,0.0066,0.0114,228,DRD,Shan (South),16,KyiThe,160211,Pong Long,16021125004,18,18,207,Mine Ye,16021125,398,3537
Kone Ta Let,96.8432929,21.2337127,Taunggyi,1601,19,6.05,5.46,1,601,663,,0.0066,0.0114,663,DRD,Shan (South),16,Yarksaung,160107,Kone Ta Let,16010701007,118,103,601,Lwe Koe,16010701,669,3548
Hsai-hkoo(ywarma),97.4287195,23.0748109,kyaukme,1503,20,6.98,5.59,1.14,161,178,,0.0066,0.0114,178,DRD,Shan (North),15,namtu,150308,Hsai-hkoo(ywarma),15030803001,,28,161,sighthkong,,353,2120
Kwee Ta Loke,96.8269212,19.5123999,Taunggyi,1601,19,6.05,5.46,1,134,148,,0.0066,0.0114,148,DRD,Shan (South),16,phekhon,160103,Kwee Ta Loke,16010304010,26,22,134,Alai Ka Yan,16010304,674,4334
Martawday,99.3941849,21.1918573,kyaington,1701,20,5.44,5.2,1.14,163,180,,0.0066,0.0114,180,DRD,Shan (East),17,kyaington,170101,Martawday,17010117015,39,39,163,Pankyu,17010117,715,3480
Kawngkaw,98.6637443,23.3890524,Kum Lone,1504,20,6.98,5.59,1.14,84,93,,0.0066,0.0114,93,DRD,Shan (North),15,Kum Lone,150416,Kawngkaw,15041620011,,13,84,Manpyaine,,217,1851
ban mak(east),97.4408093,19.9926945,Loilem,1602,19,6.05,5.46,1,45,50,,0.0066,0.0114,50,DRD,Shan (South),16,Maukmal,160204,ban mak(east),16020408021,11,11,45,ka du gyi,16020408,812,4759
Kun Hone,98.018214,21.9731046,Taunggyi,1601,19,6.05,5.46,1,301,332,,0.0066,0.0114,332,DRD,Shan (South),16,KyiThe,160211,Kun Hone,16021106003,32,32,301,Har Wam,16021106,329,3372
Sin Phyu,97.084555,19.8796989,Taunggyi,1601,19,6.05,5.46,1,67,74,,0.0066,0.0114,74,DRD,Shan (South),16,phekhon,160103,Sin Phyu,16010302004,50,50,67,Ku Yin,16010302,274,2170
Monghaw,100.28538,21.0660615,Mongpyek,1703,20,5.44,5.2,1.14,137,151,,0.0066,0.0114,151,DRD,Shan (East),17,Mongyaung,170311,Monghaw,17031104011,34,33,137,Monglai,17031104,476,2817
Sumngum,96.9823416,23.0536319,Kyaukme,1503,20,6.98,5.59,1.14,202,223,,0.0066,0.0114,223,DRD,Shan (North),15,Nam san,150309,Sumngum,15030908003,,35,202,Manlone,,168,1676
Kankhoung,96.9495025,20.1471681,Taunggyi,1601,19,6.05,5.46,1,155,171,,0.0066,0.0114,171,DRD,Shan (South),16,Nyaungshwe,160105,Kankhoung,16010535012,29,21,155,Inntan,16010535,324,2094
Taungpyay,96.850393,20.4748924,Taunggyi,1601,19,6.05,5.46,1,1115,1230,,0.0066,0.0114,1230,DRD,Shan (South),16,Nyaungshwe,160105,Taungpyay,16010522002,170,155,1115,Inntain,16010522,592,3514
Panghka,96.9215121,22.8890021,Kyaukme,1503,20,6.98,5.59,1.14,24,26,,0.0066,0.0114,26,DRD,Shan (North),15,Nam san,150309,Panghka,15030921005,,5,24,Namtwe,,302,3065
Mine Pawn,97.9758147,21.6729699,Taunggyi,1601,19,6.05,5.46,1,221,244,,0.0066,0.0114,244,DRD,Shan (South),16,KyiThe,160211,Mine Pawn,16021118010,26,26,221,Mine Nan,16021118,499,3942
Uyinbu,96.5116321,23.9932461,kyaukme,1503,20,6.98,5.59,1.14,461,509,,0.0066,0.0114,509,DRD,Shan (North),15,Mabaine,150311,Uyinbu,15031114003,,112,461,ngar oh,,1142,5970
Singhsi-taung,98.1745011,23.9311595,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Singhsi-taung,15021231005,,0,0,,,0,0
Hway Kone,97.5021348,21.0141519,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,Pinlone,,Hway Kone,16021202010,0,0,0,,,0,0
Mannaung,97.9067463,23.3598965,Mu Se,1502,20,6.98,5.59,1.14,404,446,,0.0066,0.0114,446,DRD,Shan (North),15,Kaut Khine,150215,Mannaung,15021503006,52,52,404,Inmain-Hokyant,15021503,470,3825
Loisaing,97.7653674,20.4907434,Loilem,1602,19,6.05,5.46,1,87,96,,0.0066,0.0114,96,DRD,Shan (South),16,moehnae,160203,Loisaing,16020305001,10,12,87,Loicho,16020305,314,1805
Wam Naung,97.5313223,21.3202406,Taunggyi,1601,19,6.05,5.46,1,381,420,,0.0066,0.0114,420,DRD,Shan (South),16,Lae Char,160206,Wam Naung,16020619002,41,40,381,Pan Tan,16020619,472,2931
Nam-tit,97.5392706,23.1401496,kyaukme,1503,20,6.98,5.59,1.14,30,33,,0.0066,0.0114,33,DRD,Shan (North),15,namtu,150308,Nam-tit,15030820009,,7,30,wainenan,,277,1659
Pun-chal,99.3943571,21.3664958,kyaington,1701,20,5.44,5.2,1.14,52,57,,0.0066,0.0114,57,DRD,Shan (East),17,kyaington,170101,Pun-chal,17010103015,8,8,52,Panmat,17010103,379,1823
Hpa-so,97.8964123,22.8055577,Lashio,1501,20,6.98,5.59,1.14,40,44,,0.0066,0.0114,44,DRD,Shan (North),15,Lashio,150101,Hpa-so,15010123007,10,0,40,Man-se,,113,584
Wanten,99.6284415,21.37336,kyaington,1701,20,5.44,5.2,1.14,248,274,,0.0066,0.0114,274,DRD,Shan (East),17,kyaington,170101,Wanten,17010105007,37,37,248,Wansaung,17010105,487,3352
Hsawhkyi-daw,97.1373383,19.7304797,Loikaw,1001,20,5.88,5.5,1.14,263,330,,0.0151,0.0157,330,DRD,Kayah,10,Loikaw,100101,Hsawhkyi-daw,10010108007,,,263,No-ko,10010108,307,1285
Pin Hton,96.6901,20.07275,Taunggyi,1601,19,6.05,5.46,1,820,905,,0.0066,0.0114,905,DRD,Shan (South),16,Pin Laung,160108,Pin Hton,16010803004,161,161,820,Min Bu,16010803,1168,5674
Haitam,97.2655519,22.8743761,Kyaukme,1503,20,6.98,5.59,1.14,274,302,,0.0066,0.0114,302,DRD,Shan (North),15,Nam san,150309,Haitam,15030916003,,62,274,Mankan,,160,1259
Myayphyu,96.8045786,20.5299095,Taunggyi,1601,19,6.05,5.46,1,204,225,,0.0066,0.0114,225,DRD,Shan (South),16,Kalaw,160102,Myayphyu,16010218017,45,45,204,,,668,3002
Nyaung-ni,96.6823114,23.1200783,Kyaukme,1503,20,6.98,5.59,1.14,557,615,,0.0066,0.0114,615,DRD,Shan (North),15,Momeik,150310,Nyaung-ni,15031009004,,101,557,Swesarli,15031009,649,3364
Panhpat,98.6401814,23.355204,Kum Lone,1504,20,6.98,5.59,1.14,115,127,,0.0066,0.0114,127,DRD,Shan (North),15,Kum Lone,150416,Panhpat,15041616005,,16,115,Hole,,342,2860
Phar-ti-mar,97.2363069,19.7262603,Loikaw,1001,20,5.88,5.5,1.14,356,446,,0.0151,0.0157,446,DRD,Kayah,10,Loikaw,100101,Phar-ti-mar,10010105008,,,356,Kyi-kai,10010105,881,5140
Kyauk San,96.9595248,21.8932207,Taunggyi,1601,19,6.05,5.46,1,324,358,,0.0066,0.0114,358,DRD,Shan (South),16,Inn Taw,160113,Kyauk San,16011301022,68,65,324,Kyauk Gu,16011301,2069,9681
Hpet Lin,98.0621768,22.1415506,Lashio,1501,20,6.98,5.59,1.14,107,118,,0.0066,0.0114,118,DRD,Shan (North),15,Mongyai,150104,Hpet Lin,15010425007,,12,107,Longleng,15010425,76,585
Lanmansaing,97.6465067,23.7614271,Muse,1502,20,6.98,5.59,1.14,144,159,,0.0066,0.0114,159,DRD,Shan (North),15,Namkham,150213,Lanmansaing,15021325003,,24,144,Putmardeinsar,,15,220
Naung Yin,97.0460086,22.1268166,Taunggyi,1601,19,6.05,5.46,1,602,664,,0.0066,0.0114,664,DRD,Shan (South),16,Inn Taw,160113,Naung Yin,16011303003,102,96,602,Naung Long,16011303,802,5150
Si mu lay,96.7360245,24.1492891,Bamaw,902,21,7.96,6.01,1.28,483,554,,0.0091,0.0144,554,DRD,Kachin,9,Shwegu,90208,Si mu lay,9020813002,58,58,483,Si mu gyi,9020813,184,1542
Hut Mai,98.0846706,20.3719819,Taunggyi,1602,19,6.05,5.46,1,122,135,,0.0066,0.0114,135,DRD,Shan (South),16,Lin Kae,160205,Hut Mai,16020501008,23,20,122,Naung Lon,16020501,340,1700
Soung Khar,96.8322199,20.2207651,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Soung Khar,16011208003,66,66,,Naung Pe,16011208,821,4853
Naungbokaung,99.6248032,21.2492567,kyaington,1701,20,5.44,5.2,1.14,317,350,,0.0066,0.0114,350,DRD,Shan (East),17,kyaington,170101,Naungbokaung,17010120005,63,63,317,Mong sem,17010120,1636,7947
Shan Kone,96.61403,19.9269,Taunggyi,1601,19,6.05,5.46,1,176,194,,0.0066,0.0114,194,DRD,Shan (South),16,Pin Laung,160108,Shan Kone,16010806006,34,34,176,Tha Pyay Kone,16010806,843,4411
Wannyinn,99.6274206,21.4502154,kyaington,1701,20,5.44,5.2,1.14,166,183,,0.0066,0.0114,183,DRD,Shan (East),17,kyaington,170101,Wannyinn,17010106021,27,27,166,Kettaung,17010106,934,5799
Nant-maw,99.25514,21.78237,Kyaington,1701,20,5.44,5.2,1.14,222,245,,0.0066,0.0114,245,DRD,Shan (East),17,Mongket,170102,Nant-maw,17010212008,39,37,222,Nant-yan-lone,17010212,882,5310
Tomkawsu,98.5708025,23.6471138,Kum Lone,1504,20,6.98,5.59,1.14,380,419,,0.0066,0.0114,419,DRD,Shan (North),15,Kum Lone,150416,Tomkawsu,15041612007,,44,380,Tarpaungpaung,,332,2217
Wam Hte Ywyarma,97.8156165,21.3317488,Taunggyi,1601,19,6.05,5.46,1,183,202,,0.0066,0.0114,202,DRD,Shan (South),16,Lae Char,160206,Wam Hte Ywyarma,16020610001,24,24,183,Wam Hte,16020610,330,2381
Hpa hsun,98.2285985,23.0798062,Lashio,1501,20,6.98,5.59,1.14,183,202,,0.0066,0.0114,202,DRD,Shan (North),15,Lashio,150101,Hpa hsun,15010166002,30,0,183,Panshaw,,320,2770
Lwe Sin,96.886421,21.2722758,Taunggyi,1601,19,6.05,5.46,1,417,460,,0.0066,0.0114,460,DRD,Shan (South),16,Yarksaung,160107,Lwe Sin,16010702003,80,81,417,Hway,16010702,596,3098
PangMao,98.5624512,23.159508,Kunlong,1504,20,6.98,5.59,1.14,303,334,,0.0066,0.0114,334,DRD,Shan (North),15,Ho Pan,150417,PangMao,15041714002,,65,303,Mankaung(Ngar),15041714,,
Loke Lon,97.9686812,21.8560271,Taunggyi,1601,19,6.05,5.46,1,117,129,,0.0066,0.0114,129,DRD,Shan (South),16,KyiThe,160211,Loke Lon,16021120003,15,15,117,Naung Swam,16021120,332,2782
Chaunggyi,96.51135437,22.96644074,NULL,NULL,19,5.71,5.27,1,547,651,,0.0117,0.012,651,DRD,Mandalay,1,Magoke,NULL,Chaunggyi,1010201201,NULL,93,547,0Chaung-gyi,10103017,4144,NULL
Dawntgyi,96.6917324,23.1197815,Kyaukme,1503,20,6.98,5.59,1.14,397,438,,0.0066,0.0114,438,DRD,Shan (North),15,Momeik,150310,Dawntgyi,15031010002,,79,397,The-ni,15031010,231,1195
Par Pan,96.8536244,21.2022977,Taunggyi,1601,19,6.05,5.46,1,432,477,,0.0066,0.0114,477,DRD,Shan (South),16,Yarksaung,160107,Par Pan,16010701005,78,74,432,Lwe Koe,16010701,669,3548
Yankhan,100.106148,21.2780067,kyaington,1701,20,5.44,5.2,1.14,95,105,,0.0066,0.0114,105,DRD,Shan (East),17,kyaington,170101,Yankhan,17010110002,16,16,95,Mongkai,17010110,151,816
Nawan,96.9376138,22.5709087,Kyaukme,1503,20,6.98,5.59,1.14,238,263,,0.0066,0.0114,263,DRD,Shan (North),15,Kyaukme,150306,Nawan,15030551004,,37,238,Manhkauk,,469,3589
Naung-pein,96.47553089,22.21027851,NULL,NULL,19,5.71,5.27,1,108,129,,0.0117,0.012,129,DRD,Mandalay,1,Pyinoolwin,NULL,Naung-pein,1010103401,NULL,30,108,Naung-pein,NULL,291,388
Sin Kyon,96.7668722,21.1020111,Taunggyi,1601,19,6.05,5.46,1,112,124,,0.0066,0.0114,124,DRD,Shan (South),16,Yarksaung,160107,Sin Kyon,16010704007,37,32,112,Myin Taung,16010704,563,2643
Pannyaint,99.6498464,21.4324155,kyaington,1701,20,5.44,5.2,1.14,43,47,,0.0066,0.0114,47,DRD,Shan (East),17,kyaington,170101,Pannyaint,17010107014,7,7,43,Yankyein,17010107,372,2787
Loi Tan,97.4760868,21.0043975,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,Pinlone,,Loi Tan,16021204008,0,0,0,,,0,0
Mankan,98.4855955,23.237293,Kum Lone,1504,20,6.98,5.59,1.14,167,184,,0.0066,0.0114,184,DRD,Shan (North),15,Kum Lone,150416,Mankan,15041618005,,23,167,Panma,,106,763
Or-khal-day,99.477958,21.4381235,kyaington,1701,20,5.44,5.2,1.14,74,82,,0.0066,0.0114,82,DRD,Shan (East),17,kyaington,170101,Or-khal-day,17010103011,16,16,74,Panmat,17010103,379,1823
Tee Tain Han Ka Lout,96.9029897,19.6853406,Taunggyi,1601,19,6.05,5.46,1,127,140,,0.0066,0.0114,140,DRD,Shan (South),16,phekhon,160103,Tee Tain Han Ka Lout,16010312007,20,20,127,Ye Nwe,16010312,1533,9855
Pan ya-yungtike,98.4662286,23.0050888,Lashio,1501,20,6.98,5.59,1.14,267,295,,0.0066,0.0114,295,DRD,Shan (North),15,Lashio,150101,Pan ya-yungtike,15010165001,70,0,267,Pan ya-yungtike,,113,667
Ta Lone Ba Lo,96.8592114,19.5393305,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,phekhon,160103,Ta Lone Ba Lo,16010304026,,,,Alai Ka Yan,16010304,674,4334
Man Se(shan),98.1155877,24.0880686,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Man Se(shan),15021227002,,0,0,,,0,0
Mone Hka,97.28065,23.61323,Kyaukme,MMR015D003,,,,,,163,166,,,163,MIMU+GAD,Shan (North),MMR015,Manton,MMR015019,Mone Hka,211073,,35,166,Mone Hka,MMR015019029,,
Yawng Saung,98.92323,21.74804,Kengtung,MMR016D001,,,,,,111,113,,,111,GAD+MIMU,Shan (East),MMR016,Matman,MMR016004,Yawng Saung,213187,,22,113,Nam Taw,MMR016004004,,
Kone Ma Hut,97.7082966,20.9468641,Loilem,1602,19,6.05,5.46,1,25,28,,0.0066,0.0114,28,DRD,Shan (South),16,NamSan,160202,Kone Ma Hut,16020212007,7,7,25,Loi Yae,16020212,323,1845
Nantmu,99.2248326,21.5256462,Mongsek,1702,20,5.44,5.2,1.14,152,168,,0.0066,0.0114,168,DRD,Shan (East),17,Tontar,170205,Nantmu,17020507008,13,13,152,Nantshoet,17020507,310,2228
Taung Kya,96.51451,19.92835,Taunggyi,1601,19,6.05,5.46,1,294,324,,0.0066,0.0114,324,DRD,Shan (South),16,Pin Laung,160108,Taung Kya,16010806009,56,56,294,Tha Pyay Kone,16010806,843,4411
Kyaingping,99.45105,21.72818,Kyaington,1701,20,5.44,5.2,1.14,145,160,,0.0066,0.0114,160,DRD,Shan (East),17,Mongket,170102,Kyaingping,17010201009,25,22,145,Wankhoke,17010201,470,2700
Mamokekyu,99.29442,21.60873,Kyaington,1701,20,5.44,5.2,1.14,60,66,,0.0066,0.0114,66,DRD,Shan (East),17,Mongket,170102,Mamokekyu,17010216012,16,12,60,Wan Ping,17010216,139,794
Nant-saw-sue,99.34592,21.79157,Kyaington,1701,20,5.44,5.2,1.14,86,95,,0.0066,0.0114,95,DRD,Shan (East),17,Mongket,170102,Nant-saw-sue,17010209005,18,14,86,Nant-saw,17010209,174,1058
Wonkyan,99.5620495,21.3576541,kyaington,1701,20,5.44,5.2,1.14,211,233,,0.0066,0.0114,233,DRD,Shan (East),17,kyaington,170101,Wonkyan,17010104001,39,39,211,Kattyeik,17010104,1233,6699
Pumouse,99.7383766,21.1075592,kyaington,1701,20,5.44,5.2,1.14,124,137,,0.0066,0.0114,137,DRD,Shan (East),17,kyaington,170101,Pumouse,17010121004,18,18,124,Loi mwe,17010121,830,4961
Phayarphyu,96.7339725,20.5692918,Taunggyi,1601,19,6.05,5.46,1,46,51,,0.0066,0.0114,51,DRD,Shan (South),16,Kalaw,160102,Phayarphyu,16010214012,8,8,46,,,515,2700
Sang-om,98.0418187,24.0328015,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Sang-om,15021224006,,0,0,,,0,0
