Name,Lat,Lon,pop,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,target_hou,full_popul,500mBufYN,450mBufYN,475mBufYN,400mBufYN,425mBufYN,350mBufYN,375mBufYN,newpop
8.20109E+11,0.809472,127.637512,76.798102,4.298076923,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.471154,163,1,1,1,1,1,1,1,0
8.20109E+11,0.797235,127.678702,133.807736,4.298076923,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.471154,284,,,,,,,,284
8.20109E+11,0.875167,127.631093,123.474624,3.858585859,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.323232,382,1,1,1,1,1,1,1,0
8.20109E+11,0.922884,127.511699,34.61544,4.761538462,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.192308,180,,,,,,,,180
8.20109E+11,0.906257,127.511771,84.423212,4.761538462,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.192308,439,,,,,,,,439
8.2011E+11,1.144042,127.432449,0,3.935897436,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0,307,1,1,1,1,1,1,1,0
8.2011E+11,1.154488,127.442283,3.489787,4.293877551,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.183673,19,1,1,1,1,1,1,1,0
8.2011E+11,1.151858,127.434613,172.468947,4.293877551,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.183673,939,1,1,1,1,1,1,1,0
8.2011E+11,1.151921,127.441437,17.081589,4.293877551,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.183673,93,1,1,1,1,1,1,1,0
8.2011E+11,1.157867,127.447121,78.54057,3.97037037,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.17037,461,1,1,1,1,1,1,1,0
8.2011E+11,1.154961,127.442936,12.77775,3.97037037,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.17037,75,1,1,1,1,1,1,1,0
8.2011E+11,1.168311,127.424996,34.578932,3.842105263,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.118421,292,1,1,1,1,1,1,1,0
